0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"P
 
remained 
unsolved to the 
satisfaction of the 
members as on 31 
March, 2022. 
 
 
14.  Overview of the entity’s material responsible business conduct issues 
lease indicate material responsible business conduct and sustainability issues pertaining to environmental 
and social matters that present a risk or an opportunity to your business, rationale for identifying the same, 
approach to adapt or mitigate the risk along-with its financial implications, as per the following format",,,,,,,,,,,,,,,,
,"Stakeholder 
Group from",,,"Grievance 
Redressal 
Mechanism in 
place 
(Yes/No)","FY 2022 
Current Financial Year",,,,,"FY 2021 
Previous Financial Year",,,,,,
,"whom 
complaint is 
received",,,"(If Yes, then 
provide web-
link for 
Grievance 
Redressal 
Policy","Number of 
Complaints 
filed during 
the year",,"Number of 
Complaints 
pending 
resolution at 
the close of 
the year",,Remarks,"Number 
of 
Complaint
s filed 
during the 
year",,"Number of 
Complaints 
pending 
resolution at 
the close of 
the year",,Remarks,,
,Shareholders,,,,21,,0,,,21,,0,,,,
,"Employees and 
workers",,,Yes,POSH - 45,,POSH - 5,,"POSH 
complaints 
have a TAT",of 90 days  POSH- 39 0,,,,,,
,,,,,WB - 319,,WB- 13,,,WB - 285  WB - 74,,,,,,
,Customers,,,Yes,"935,005",,"45,004",,"360,342","17,525",,,,,,
,"Value Chain 
Partners",,,"A total of 406 whistle blower complaints have been received, of which 87 of them have been 
received from external stakeholders. Due to the anonymity of the complainants, it is not feasible 
to present the categorisation of the stakeholders from whom these complaints have been",,,,,,,,,,,,
,Others,,,received,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"S. 
No.","Material 
issue 
identified",,,"Indicate 
whether risk 
or opportunity 
(R/O)",,"Rationale for 
identifying the 
risk/opportunity",,,"In case of risk, 
approach to 
adapt 
or 
mitigate",,"Financial 
implications 
of the risk 
or 
opportunity 
(Indicate 
positive 
or 
negative 
implications)",,,
,,"Please refer to the section “Stakeholder Engagement & Materiality Assessment” page 36-39 for 
Sustainability Report 2021-22",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
