0,1,2,3,4
"T
2. 
Provide the following information on CSR projects undertaken by your entity in designated 
aspirational districts as identified by government bodies: 
he Bank’s Sustainable Livelihoods program was implemented in the following districts during the year:",,,,
,No.,State,Aspirational District,
,1,Andhra Pradesh,Visakhapatnam,
,2,Assam,Udalguri,
,3,Bihar,Araria,
,,,Khagaria,
,,,Katihar,
,4,Chhattisgarh,Bastar,
,,,Dantewada (Dakshin (South) Bastar),
,,,Korba,
,,,Mahasamund,
,,,North (Uttar) Bastar Kanker,
,5,Gujarat,Dahod,
,6,Himachal Pradesh,Chamba,
,7,Jammu & Kashmir,Baramulla,
,,,Kupwara,
,8,Jharkhand,Bokaro,
,,,Dumka,
,,,Godda,
,,,Hazaribagh,
,,,Khunti,
,,,West Singhbhum,
,,,Ramgarh,
,,,Ranchi,
,9,Madhya Pradesh,Barwani,
,,,Khandwa,
,,,Singrauli,
,,Maharashtra,Nandurbar,
,10,Odisha,Kalahandi,
,,,Koraput,
,,,Nabarangapur,
,,,Rayagada,
,11,Rajasthan,Jaisalmer,
,,,Sirohi,
,12,Tamil Nadu,Ramanathapuram,
,13,Uttar Pradesh,Bahraich,
"3. 
(a)  Do  you  have  a  preferential  procurement  policy  where  you  give  preference  to  purchase  from 
suppliers comprising marginalized /vulnerable groups? (Yes/No) 
 
(b) From which marginalized /vulnerable groups do you procure? 
(c) What percentage of total procurement (by value) does it constitute? 
 
No. The Bank does not have a preferential procurement policy addressing the above parameters. 
However, it does have a Vendor Code of Conduct.",,,,
